Result:
n	Insertion			Merge			

2	344			1026
3	448			1714
4	626			2561
5	302			14391
6	306			912
7	273			791
8	337			1086
9	348			2359
10	3857		1259
11	955			1740
12	521			1643
13	534			1778
14	713			1885
15	749			86491
16	891			2847
17	808			2483
18	52556		2739
19	465			4640
20	599			2411
21	546			2257
22	524			3098
23	544			2627
24	601			2627
25	613			3128
26	662			2830
27	679			2960
28	636			4273
29	639			4188
30	754			3305
31	749			6569
32	825			4215
33	701			2606
34	603			2657
35	616			3921
36	973			3835
37	652			2965
38	664			2898
39	814			7103
40	2221			5450
41	967			4980
42	987			5071
43	1165			3703
44	818			4444
45	897			4292
46	1170			4562
47	898			3890
48	927			6492
49	1362			6074
50	1021			4545
51	958			5039
52	1007			6119
53	1457			13152
54	1326			6559
55	1133			4987
56	1154			4891
57	1078			6526
58	1439			7009
59	1518			6327
60	1130			4868
61	1319			5835
62	2106			7470
63	1222			5421
64	1275			4705
65	1269			4606
66	1322			5118
67	1322			5104
68	1342			5011
69	2017			5926
70	1421			5692
71	1441			5622
72	1738			7409
73	1793			6704
74	1826			6497
75	2091			6836
76	1769			6143
77	1965			6695
78	1707			5764
79	1681			6298
80	1946			5900
81	1720			6845
82	2106			7048
83	2032			7194
84	2048			6911
85	1844			7714
86	3245			7010
87	1975			6703
88	1983			6588
89	2330			7290
90	3743			7893
91	2295			8037
92	2080			6904
93	2168			7108
94	2180			7380
95	2427			8143
96	2543			7165
97	2312			8387
98	2941			8649
99	2814			9063
100	3318			14209
101	4860			11746
102	4778			9460
103	3360			10171
104	3263			14613
105	2850			8260
106	2632			8328
107	2655			8174
108	3817			9013
109	2728			18460
110	2751			6645
111	2796			10787
112	3430			8429
113	3695			6330
114	2907			6982
115	3539			7609
116	3338			6876
117	3026			6667
118	3186			6781
119	3778			12281
120	4963			9860
121	3440			7015
122	3311			7059
123	3281			8069
124	3290			7624
125	5463			7908
126	3438			7912
127	4145			8919
128	4132			8147
129	3887			9487
130	4002			8215
131	3793			7638
132	3640			8210
133	5655			8107
134	4864			9034
135	3817			8708
136	4770			7967
137	3906			11631
138	7542			10693
139	4797			9216
140	4487			8888
141	4559			9719
142	5374			9160
143	4896			9289
144	4266			8875
145	5169			12512
146	5589			10283
147	4863			8645
148	4712			8672
149	4838			8804
150	5908			9638
151	5056			9314
152	5153			9265
153	4704			10490
154	7382			23323
155	5426			10368
156	4852			9397
157	6530			11426
158	5502			9395
159	5034			9764
160	5649			10301
161	6051			10620
